,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
787,5.0,5.0,5,32.097884,-110.815696,1.0
788,1.5,1.5,0.6,39.900556,-104.669444,1.0
789,20.0,20.0,20,34.682222,-117.3475,1.0
790,19.9,19.9,6.4,39.128056,-119.14,1.0
791,14.4,14.4,7,37.33,-122.01,1.0
792,20.0,20.0,18,36.544722,-120.316111,1.0
793,60.0,60.0,50,36.386944,-120.236667,1.0
794,20.0,20.0,20,34.648889,-118.076667,1.0
795,105.0,105.0,105,35.249167,-117.955278,1.0
796,1.5,1.5,1.5,34.548056,-117.464444,1.0
797,1.5,1.5,1.5,34.548056,-117.464444,1.0
798,1.5,1.5,1.5,33.896111,-117.283611,1.0
799,1.8,1.8,1.8,34.100278,-117.552778,1.0
800,1.5,1.5,1.5,34.039722,-117.606667,1.0
801,2.0,2.0,2,38.521111,-121.993889,1.0
802,20.0,20.0,20,36.925833,-120.82,1.0
803,6.1,6.1,1.3,35.283611,-106.812778,1.0
804,1.0,0.9,0.8,36.398056,-104.594167,1.0
805,2.5,2.5,2.5,34.093333,-117.319444,1.0
806,1.0,1.0,1,34.042222,-117.361667,1.0
807,14.0,13.0,11,35.831944,-119.056111,1.0
808,20.0,19.0,16,35.835833,-119.056111,1.0
809,20.0,20.0,20,35.115278,-119.317778,1.0
810,20.0,20.0,20,33.74,-117.010556,1.0
811,9.1,9.0,9,34.81,-106.52,1.0
812,7.6,7.6,7.6,35.20115,-107.245156,1.0
813,2.9,2.9,2.9,38.311111,-113.053611,1.0
814,20.0,20.0,18,36.050833,-119.9475,1.0
815,45.0,43.0,42,33.035556,-111.430278,1.0
816,20.0,20.0,20,35.726667,-119.905833,1.0
817,1.6,1.3,1,34.071389,-118.196111,1.0
818,1.2,1.0,0.6,34.236667,-118.565833,1.0
819,1.9,1.9,1.9,33.121111,-107.287778,1.0
820,120.0,120.0,120,38.205278,-104.566667,1.0
821,20.0,20.0,20,33.252222,-115.4975,1.0
822,1.5,1.5,1.5,37.05758,-120.653625,1.0
823,20.0,20.0,20,43.129,-115.752,1.0
824,50.0,50.0,50,38.960519,-112.36327,1.0
825,1.0,1.0,1,38.129759,-122.568158,1.0
826,20.0,20.0,20,33.1125,-116.0139,1.0
827,30.0,30.0,30,33.1101,-116.0059,1.0
828,2.0,2.0,2,34.613602,-117.93439,1.0
829,9.0,9.0,9,36.552186,-120.352481,1.0
830,5.0,5.0,5,36.723806,-120.432139,1.0
831,5.0,3.0,3,34.780192,-118.19333,1.0
832,20.0,20.0,20,35.022903,-118.282694,1.0
833,1.5,1.5,1.5,39.415027,-107.157188,1.0
834,2.0,2.6,2.6,36.13726,-120.218453,1.0
835,14.4,14.4,14.4,36.031616,-114.929399,1.0
836,1.2,1.2,1.2,36.137219,-120.224445,1.0
837,12.6,12.6,12.6,32.17356,-110.899734,1.0
838,3.0,3.0,3,37.794678,-113.283666,1.0
839,3.0,3.0,3,37.750268,-113.253724,1.0
840,1.2,1.2,1.2,44.573484,-123.31695,1.0
841,1.3,0.9,1.4,33.792694,-118.252407,1.0
