,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
176,17.0,17.0,17.0,42.884703,-106.221442,1.0
177,98.7,98.7,98.7,45.51,-120.48,1.0
178,63.0,63.0,63.0,34.6596,-110.2842,1.0
179,102.0,102.0,102.0,38.58523,-112.931,1.0
180,21.0,21.0,21.0,42.825278,-115.010833,1.0
181,22.5,22.5,22.5,42.811944,-115.048889,1.0
182,21.0,21.0,21.0,42.770833,-114.988611,1.0
183,16.8,16.8,16.8,42.8925,-115.0164,1.0
184,63.0,63.0,63.0,45.943,-118.591,1.0
185,98.9,98.9,98.9,45.8131,-120.3475,1.0
186,262.2,262.2,262.2,45.7269,-120.8339,1.0
187,71.0,71.0,71.0,40.756944,-102.743055,1.0
188,25.1,25.1,25.1,40.756944,-102.743055,1.0
189,90.0,90.0,90.0,46.9547,-120.1819,1.0
190,150.0,150.0,150.0,39.104167,-114.492222,1.0
191,342.7,342.7,342.7,46.524167,-117.821666,1.0
192,36.8,36.8,36.8,38.163581,-121.79661,1.0
193,248.3,248.3,248.3,40.9475,-103.783889,1.0
194,124.5,124.5,124.5,43.467057,-111.836381,1.0
195,51.0,51.0,51.0,39.3383,-102.3533,1.0
196,0.7,0.7,0.7,34.36,-103.0667,1.0
197,0.6,0.6,0.6,34.36,-103.0667,1.0
198,150.0,150.0,150.0,35.033725,-118.353422,1.0
199,22.5,22.5,22.5,40.9881,-102.8969,1.0
200,151.8,151.8,151.8,40.9881,-102.8969,1.0
201,150.0,150.0,150.0,35.023889,-118.295278,1.0
202,150.0,150.0,150.0,35.023889,-118.295278,1.0
203,102.0,102.0,102.0,35.008611,-118.242222,1.0
204,168.0,168.0,168.0,35.008611,-118.242222,1.0
205,111.0,111.0,111.0,42.043611,-106.160278,1.0
206,8.0,8.0,8.0,33.8942,-116.5603,1.0
207,6.5,6.5,6.5,33.9053,-116.5825,1.0
208,252.0,252.0,252.0,39.421787,-103.67814,1.0
209,50.0,50.0,50.0,45.9192,-120.3039,1.0
210,151.2,151.2,151.2,45.9215,-120.2355,1.0
211,200.0,200.0,200.0,42.9258,-105.7872,1.0
212,201.0,201.0,201.0,45.651,-120.2598,1.0
213,102.4,102.4,102.4,35.2689,-107.3828,1.0
214,65.1,65.1,65.1,34.6062,-110.1734,1.0
215,210.0,210.0,210.0,44.5281,-96.6267,1.0
216,23.0,23.0,23.0,43.037147,-115.439731,1.0
217,23.0,23.0,23.0,43.006133,-115.463289,1.0
218,23.0,23.0,23.0,43.04835,-115.412886,1.0
219,23.0,23.0,23.0,43.056622,-115.452025,1.0
220,23.0,23.0,23.0,43.028056,-115.400469,1.0
221,23.0,23.0,23.0,43.033781,-115.482592,1.0
222,49.0,49.0,49.0,33.8816,-116.5527,1.0
223,189.0,189.0,189.0,34.9349,-118.4612,1.0
224,265.4,265.4,265.4,32.752778,-116.044722,1.0
225,265.0,265.0,265.0,45.731611,-120.083466,1.0
226,105.3,105.3,105.3,47.155833,-117.364444,1.0
227,290.0,290.0,290.0,45.706262,-120.079987,1.0
228,290.0,290.0,290.0,45.58555,-120.008249,1.0
229,1.8,1.8,1.8,35.155278,-118.369444,1.0
230,2.5,2.5,2.5,35.155278,-118.369444,1.0
231,2.8,2.8,2.8,35.155278,-118.369444,1.0
232,9.0,9.0,9.0,45.613061,-120.616906,1.0
233,102.5,102.5,100.0,38.169444,-121.846944,1.0
234,1.0,1.0,1.0,37.6167,-121.3564,1.0
235,79.2,79.2,79.2,35.0775,-118.218333,1.0
236,2.0,2.0,2.0,37.714167,-121.521666,1.0
237,50.0,50.0,50.0,45.744171,-120.783568,1.0
238,1.8,1.8,1.8,38.1728,-104.62,1.0
239,201.0,201.0,201.0,38.841667,-98.299444,1.0
240,2.0,2.0,2.0,39.9139,-105.2153,1.0
241,1.5,1.5,1.5,39.9139,-105.2153,1.0
242,2.3,2.3,2.3,39.9139,-105.2153,1.0
243,78.2,78.2,78.2,37.790833,-121.718055,1.0
244,78.2,78.2,78.2,38.116667,-121.821944,1.0
245,102.5,102.5,102.5,38.137488,-121.855342,1.0
246,9.6,9.6,9.6,46.411944,-110.337777,1.0
247,22.4,22.4,22.4,42.982222,-115.393333,1.0
248,6.0,6.0,6.0,46.793581,-124.065412,1.0
249,151.7,140.0,140.0,34.891389,-118.4325,1.0
250,22.5,22.5,22.5,42.703333,-112.757778,1.0
251,22.5,22.5,22.5,42.738889,-112.748611,1.0
252,79.2,79.2,79.2,42.674722,-112.901944,1.0
253,120.0,120.0,120.0,35.054167,-118.354722,1.0
254,10.0,10.0,10.0,35.145833,-114.0675,1.0
255,1.5,1.5,1.5,38.232222,-122.092778,1.0
256,1.0,1.0,1.0,34.084722,-117.529444,1.0
